Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; ARM; Touch; NOKIA; Lumia 620),
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; Xbox),
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0; Xbox; Xbox One),
Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0; Xbox),
Mozilla/5.0 (compatible; MSIE 10.0; Windows Phone 8.0; Trident/6.0; IEMobile/10.0; Xbox; Xbox One),
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0; Xbox; Xbox One),
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; Xbox) Gecko Firefox/23.0,
MassiveAdClient/5.2.523.0 (Xbox360; Retail),
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0; Xbox; Xbox One) (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,
Mozilla/5.0 (compatible; MSIE 9.0;Windows NT 6.1; Trident/5.0; Xbox),
Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.3; Trident/7.0; Xbox; Xbox One),
Xbox Live Client/2.0.16202.0,
Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; Xbox) (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/3.1; Xbox),
Mozilla/5.0 (XboxOne; Leanback Shell) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.70 LeanbackShell/2.00 Devel build f092268-20131001 Safar,
Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.34 Safari/537.36 XboxOne
mozza/4.0 (XboX; MenuetOS 10_11_8; Win64; rv:6.3.2) Snake/19940517 Lightninggorilla/6.3.2,
Mozilla/5.0 (compatible; MSIE 9.0;; Windows NT 6.1; Trident/5.0; Xbox; Trident/7.0),
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0; Xbox; Xbox One; Trident/7.0),
Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0; Xbox; Xbox One),
Links (2.8; Linux 3.10.15-xbox0.11.1 ppc64; GNU C 4.6.4; text),
